id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
265,Frontend Developer,Healthcare,Lead,7,High School,"Experienced Frontend Developer with 5 years in software development. Proficient in JavaScript, Angular, React, TypeScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",3,0,8,39068,Hybrid,True,0.9160641685985025,92,0.7866717068409474
266,Frontend Developer,Finance,Principal,12,PhD,"Experienced Frontend Developer with 6 years in software development. Proficient in TypeScript, Vue.js, Angular, HTML. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",2,0,3,71477,Remote,False,0.36007667765641577,68,0.9480547268375379
267,Android Developer,Finance,Lead,8,Bachelor,"Experienced Android Developer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",4,4,1,135723,Hybrid,False,0.9378840571691467,74,0.8382012695166948
268,QA Tester,Healthcare,Principal,0,Master,"Experienced QA Tester with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",1,2,9,107978,Remote,False,0.4506325253153426,63,0.9475255600776527
269,Frontend Developer,Healthcare,Junior,1,Master,"Experienced Frontend Developer with 2 years in software development. Proficient in HTML, TypeScript, JavaScript, Angular. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",7,4,6,90880,Hybrid,True,0.6105883140565695,69,0.7205974767991405
270,DevOps Engineer,Healthcare,Senior,13,High School,"Experienced DevOps Engineer with 4 years in software development. Proficient in Ansible, Docker, CI/CD, Jenkins. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Jenkins', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",4,1,18,85939,Remote,False,0.5375275492631495,72,0.9306971956116653
271,UI/UX Designer,Healthcare,Entry,3,Bachelor,"Experienced UI/UX Designer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",5,4,4,88298,Remote,False,0.6221014416869457,61,0.7280180623902031
272,ML Engineer,Healthcare,Senior,14,High School,"Experienced ML Engineer with 4 years in software development. Proficient in AWS, PyTorch, Python, Docker. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",1,3,12,84595,On-site,False,0.7067761851885186,52,0.40717628662825794
273,Security Engineer,Healthcare,Senior,9,Master,"Experienced Security Engineer with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",8,3,2,144293,Remote,True,0.6972980448126203,54,0.686725312213041
274,UI/UX Designer,Healthcare,Entry,3,Bachelor,"Experienced UI/UX Designer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,2,3,121560,Hybrid,False,0.3543699964206568,70,0.6939217093303294
275,Project Manager,Healthcare,Entry,13,High School,"Experienced Project Manager with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",6,4,15,32258,On-site,False,0.5562962815158068,70,0.7801000008418382
276,Cloud Architect,Technology,Entry,4,Master,"Experienced Cloud Architect with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",2,1,13,137178,Remote,False,0.6930516300275242,59,0.7017570717525139
277,Cloud Architect,Healthcare,Entry,2,Bachelor,"Experienced Cloud Architect with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",6,1,2,107825,Hybrid,False,0.4348878186481456,63,0.9878008106792705
278,QA Tester,E-commerce,Senior,14,High School,"Experienced QA Tester with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",1,1,3,70038,Hybrid,False,0.9084741501990405,50,0.42042942186311405
279,ML Engineer,Technology,Senior,8,High School,"Experienced ML Engineer with 4 years in software development. Proficient in TensorFlow, AWS, PyTorch, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",4,4,8,123492,On-site,False,0.32940172190707223,82,0.7255397383974196
280,Product Manager,Education,Principal,13,Bachelor,"Experienced Product Manager with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",4,2,12,66251,Hybrid,False,0.3328740910397507,60,0.8215680772833933
281,ML Engineer,Healthcare,Senior,9,Bachelor,"Experienced ML Engineer with 4 years in software development. Proficient in AWS, Python, Docker, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Kubernetes', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",1,1,16,125977,Hybrid,False,0.42724783556061074,53,0.6327550607288086
282,Android Developer,E-commerce,Lead,6,PhD,"Experienced Android Developer with 5 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,3,9,63289,Remote,True,0.6513535957010193,52,0.5945374696256128
283,QA Tester,Healthcare,Principal,6,PhD,"Experienced QA Tester with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",1,0,10,128852,On-site,False,0.43425108764322456,68,0.755206210982629
284,UI/UX Designer,Healthcare,Lead,0,High School,"Experienced UI/UX Designer with 5 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",7,2,19,76679,Hybrid,False,0.5200267797842435,45,0.8002086462861646
285,Frontend Developer,Technology,Junior,12,PhD,"Experienced Frontend Developer with 2 years in software development. Proficient in React, HTML, TypeScript, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",4,0,9,148469,Remote,False,0.4597768155280819,90,0.8040386888457163
286,Security Engineer,E-commerce,Entry,10,Bachelor,"Experienced Security Engineer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",6,3,11,114118,Remote,False,0.3069258358960946,44,0.8187562004854749
287,Data Engineer,Healthcare,Mid,7,Bachelor,"Experienced Data Engineer with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,3,6,134523,Hybrid,False,0.3606280408043823,73,0.4356617799956011
288,Full Stack Developer,E-commerce,Entry,13,PhD,"Experienced Full Stack Developer with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",2,4,7,144988,Hybrid,True,0.6528878331178087,41,0.4223787636411499
289,DevOps Engineer,Technology,Senior,7,High School,"Experienced DevOps Engineer with 4 years in software development. Proficient in AWS, Docker, Kubernetes, Ansible. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Kubernetes']",6,3,2,93683,Hybrid,False,0.6590446615078884,47,0.6008633256792462
290,Cloud Architect,Technology,Lead,13,Bachelor,"Experienced Cloud Architect with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",2,2,0,58393,Remote,True,0.4588353730299452,94,0.8551854076857301
291,ML Engineer,Manufacturing,Mid,14,Master,"Experienced ML Engineer with 3 years in software development. Proficient in TensorFlow, AWS, PyTorch, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",9,1,1,81357,Remote,False,0.7162503204205838,44,0.4303807369822222
292,Backend Developer,E-commerce,Lead,1,High School,"Experienced Backend Developer with 5 years in software development. Proficient in SQL, PostgreSQL, Java, Node.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Java', 'Experienced']",4,2,7,121179,Remote,False,0.6783967732524205,77,0.7235115391316218
293,Security Engineer,Technology,Lead,0,High School,"Experienced Security Engineer with 5 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",2,1,15,34412,On-site,False,0.6165219904463262,63,0.8736964851897211
294,Mobile Developer,E-commerce,Mid,6,Master,"Experienced Mobile Developer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,4,10,102307,Hybrid,False,0.5467837640332041,51,0.7674287917943434
295,Data Scientist,Finance,Senior,10,Bachelor,"Experienced Data Scientist with 4 years in software development. Proficient in NumPy, TensorFlow, Pandas, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Experienced']",3,3,1,120458,Hybrid,False,0.6983755601293218,63,0.7292902683315909
296,Android Developer,Technology,Principal,9,Bachelor,"Experienced Android Developer with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",5,1,19,112308,Remote,False,0.8036868144029119,42,0.9356223164883118
297,DevOps Engineer,Finance,Mid,9,Bachelor,"Experienced DevOps Engineer with 3 years in software development. Proficient in Terraform, Kubernetes, Docker, Ansible. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Terraform', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible']",2,4,14,41220,On-site,False,0.8268506142143233,82,0.8319113848186855
298,Data Engineer,Finance,Entry,5,Master,"Experienced Data Engineer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",3,0,17,69417,Remote,False,0.7607092501288052,52,0.6696631765652321
299,Mobile Developer,E-commerce,Entry,6,Bachelor,"Experienced Mobile Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",1,0,16,142071,Remote,False,0.5033498913281751,93,0.8710521784660215
300,Data Engineer,Education,Entry,13,Bachelor,"Experienced Data Engineer with 1 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",5,4,6,98520,Remote,True,0.43116355766775616,65,0.564728961777874
301,Full Stack Developer,E-commerce,Principal,4,High School,"Experienced Full Stack Developer with 6 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,0,5,102941,Hybrid,True,0.3981020098188538,44,0.9422243287053825
302,Data Engineer,Finance,Lead,1,Master,"Experienced Data Engineer with 5 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,0,4,46292,On-site,True,0.6198668155278055,49,0.6872907653819322
303,Full Stack Developer,Finance,Entry,1,Master,"Experienced Full Stack Developer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",3,2,4,142138,Remote,False,0.49403190044878775,55,0.5049346605775668
304,Security Engineer,Education,Entry,1,Master,"Experienced Security Engineer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",4,0,18,83470,Hybrid,False,0.4710902642726782,82,0.9733095689115887
305,Mobile Developer,Education,Senior,12,Master,"Experienced Mobile Developer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",1,0,14,58852,Hybrid,False,0.5820778315288644,65,0.9681766581208276
306,Data Scientist,Finance,Lead,11,Master,"Experienced Data Scientist with 5 years in software development. Proficient in SQL, Pandas, Tableau, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau']",7,0,16,65645,Hybrid,False,0.5726498746146496,75,0.4266057676772906
307,Product Manager,Technology,Mid,5,Master,"Experienced Product Manager with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",6,2,0,141597,Hybrid,False,0.9324198890028443,92,0.5963431937078998
308,Security Engineer,Education,Mid,0,Bachelor,"Experienced Security Engineer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,3,19,51212,Hybrid,False,0.3511470303691652,90,0.577427626689802
309,Project Manager,Healthcare,Senior,2,PhD,"Experienced Project Manager with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",2,0,6,118522,Remote,True,0.5440593215593247,43,0.4183633585755864
310,Project Manager,E-commerce,Lead,13,High School,"Experienced Project Manager with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",5,0,10,58305,Hybrid,False,0.6285031369906202,65,0.4696916045442159
311,Data Scientist,Healthcare,Principal,13,Master,"Experienced Data Scientist with 6 years in software development. Proficient in Python, Tableau, Pandas, NumPy. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau']",3,3,7,105174,Remote,True,0.5594053247335806,49,0.6837351787591444
312,Security Engineer,E-commerce,Junior,3,PhD,"Experienced Security Engineer with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",1,3,10,33580,On-site,False,0.44002122590060844,45,0.7359199904657154
313,Full Stack Developer,Technology,Mid,12,Master,"Experienced Full Stack Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",3,2,15,76400,Hybrid,False,0.6153157074530838,80,0.4642418559055068
314,Mobile Developer,Education,Entry,8,Bachelor,"Experienced Mobile Developer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,2,7,149966,On-site,True,0.577734403965869,94,0.8544868891014222
315,Full Stack Developer,Healthcare,Principal,6,High School,"Experienced Full Stack Developer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",8,3,13,137912,Hybrid,False,0.45092205832465926,47,0.9047545319256673
316,Full Stack Developer,Finance,Mid,9,Master,"Experienced Full Stack Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",3,4,2,118977,On-site,True,0.449772489319646,59,0.5897968433260539
317,Data Scientist,Education,Principal,11,High School,"Experienced Data Scientist with 6 years in software development. Proficient in Pandas, NumPy, Python, Tableau. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Tableau']",7,4,6,57221,On-site,False,0.7862783917167293,65,0.5187008566236676
318,Security Engineer,Manufacturing,Mid,11,PhD,"Experienced Security Engineer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",7,4,7,37461,On-site,False,0.7402467170056819,83,0.7583451951647595
319,Cloud Architect,Technology,Senior,9,High School,"Experienced Cloud Architect with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,4,2,101508,On-site,False,0.6303253326458622,57,0.43516316655476117
320,Product Manager,Manufacturing,Entry,11,Master,"Experienced Product Manager with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",9,1,19,90176,Hybrid,False,0.7441302115378259,41,0.8815241761409746
321,Product Manager,Manufacturing,Junior,13,Bachelor,"Experienced Product Manager with 2 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",7,1,15,47093,Remote,False,0.9530174104706906,86,0.6053598198647876
322,ML Engineer,Finance,Principal,10,High School,"Experienced ML Engineer with 6 years in software development. Proficient in Kubernetes, MLOps, PyTorch, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",8,2,11,46876,Remote,True,0.5732231758989079,83,0.43593776122745737
323,Mobile Developer,Healthcare,Mid,0,Bachelor,"Experienced Mobile Developer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",8,2,10,62060,Hybrid,False,0.9137811837318599,70,0.4612943353810616
324,Backend Developer,Technology,Junior,1,High School,"Experienced Backend Developer with 2 years in software development. Proficient in Spring, Django, SQL, Java. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Java', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Django']",1,4,11,94946,Hybrid,True,0.6031171005427097,55,0.6236463275065439
325,Cloud Architect,E-commerce,Senior,9,Bachelor,"Experienced Cloud Architect with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",5,0,6,131721,Remote,False,0.9280638062386801,73,0.590094945467208
326,QA Tester,Manufacturing,Senior,6,Bachelor,"Experienced QA Tester with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",4,3,8,86726,Remote,False,0.6755568852323063,57,0.9074881040451238
327,Security Engineer,Manufacturing,Entry,4,PhD,"Experienced Security Engineer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",5,4,9,133621,Remote,False,0.7853826675055446,83,0.8695646394764617
328,Security Engineer,Finance,Mid,4,PhD,"Experienced Security Engineer with 3 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",4,4,4,102218,On-site,False,0.5805563506145118,45,0.4531664054948479
329,Data Engineer,Healthcare,Principal,3,Master,"Experienced Data Engineer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",4,2,3,79437,Hybrid,False,0.7560310212213581,59,0.807317888934757
330,Frontend Developer,Manufacturing,Junior,6,PhD,"Experienced Frontend Developer with 2 years in software development. Proficient in Angular, React, Vue.js, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led']",2,1,16,122011,Hybrid,True,0.49764943341999757,74,0.9708145288221034
331,DevOps Engineer,E-commerce,Entry,11,Bachelor,"Experienced DevOps Engineer with 1 years in software development. Proficient in Ansible, Terraform, Docker, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Terraform', 'Kubernetes', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible']",1,0,8,64364,On-site,False,0.4364296017356339,55,0.5390860346382977
332,Mobile Developer,Technology,Senior,9,Master,"Experienced Mobile Developer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,4,7,39854,Hybrid,False,0.9701555247099283,71,0.5630481745468617
333,QA Tester,Technology,Junior,10,Master,"Experienced QA Tester with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",8,1,15,81962,Remote,False,0.8977645203903291,87,0.41059716902427745
334,DevOps Engineer,Manufacturing,Junior,13,High School,"Experienced DevOps Engineer with 2 years in software development. Proficient in Ansible, AWS, CI/CD, Docker. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",1,0,18,96161,Hybrid,True,0.3446738381708237,80,0.9140269601415263
335,Android Developer,E-commerce,Lead,0,PhD,"Experienced Android Developer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,0,1,109965,Remote,False,0.702793436431923,75,0.8463732208207587
336,Data Scientist,Healthcare,Entry,1,High School,"Experienced Data Scientist with 1 years in software development. Proficient in Scikit-learn, SQL, Tableau, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau']",2,1,7,34488,Hybrid,False,0.4500736429600678,46,0.48953214225597036
337,DevOps Engineer,Technology,Entry,10,High School,"Experienced DevOps Engineer with 1 years in software development. Proficient in AWS, Docker, Ansible, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Kubernetes', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",3,1,4,63956,Remote,False,0.5416047374256566,41,0.8585633517501849
338,Full Stack Developer,Technology,Principal,13,High School,"Experienced Full Stack Developer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",4,4,17,132587,Remote,False,0.9844006618996266,81,0.64223061498427
